Hours	Event	Count	celsius	Volts
439	Failure	1	170	200
904	Failure	1	170	200
1092	Failure	1	170	200
1105	Failure	1	170	200
572	Failure	1	170	250
690	Failure	1	170	250
904	Failure	1	170	250
1090	Failure	1	170	250
315	Failure	1	170	300
315	Failure	1	170	300
439	Failure	1	170	300
628	Failure	1	170	300
258	Failure	1	170	350
258	Failure	1	170	350
347	Failure	1	170	350
588	Failure	1	170	350
959	Failure	1	180	200
1065	Failure	1	180	200
1065	Failure	1	180	200
1087	Failure	1	180	200
216	Failure	1	180	250
315	Failure	1	180	250
455	Failure	1	180	250
473	Failure	1	180	250
241	Failure	1	180	300
315	Failure	1	180	300
332	Failure	1	180	300
380	Failure	1	180	300
241	Failure	1	180	350
241	Failure	1	180	350
435	Failure	1	180	350
455	Failure	1	180	350
1105	Censored	4	170	200
1090	Censored	4	170	250
628	Censored	4	170	300
588	Censored	4	170	350
1087	Censored	4	180	200
473	Censored	4	180	250
380	Censored	4	180	300
455	Censored	4	180	350
