celsius	RH	Days	Pounds
50	20	1	8.196855164
50	20	1	9.563333866
50	20	1	7.600112553
50	20	1	10.41391112
50	20	1	8.486771036
50	20	1	11.93128301
50	20	1	9.325845345
50	20	1	4.456297826
50	20	2	7.533794723
50	20	2	6.25463767
50	20	2	2.587684855
50	20	2	9.041528199
50	20	2	8.83454129
50	20	2	8.31405446
50	20	2	8.065365797
50	20	2	7.180859978
50	20	4	3.893930328
50	20	4	8.779006838
50	20	4	6.521613132
50	20	4	7.387404708
50	20	4	9.386267167
50	20	4	9.609007881
50	20	4	6.535661164
50	20	4	8.6364024
50	20	8	8.76478192
50	20	8	4.724977389
50	20	8	8.419106111
50	20	8	6.652003646
50	20	8	6.40996861
50	20	8	9.52400831
50	20	8	8.919208244
50	20	8	7.660604171
50	20	16	7.153938354
50	20	16	5.91352858
50	20	16	7.364080436
50	20	16	6.509249016
50	20	16	5.960435768
50	20	16	6.746576917
50	20	16	5.133374026
50	20	16	6.341419462
50	20	32	6.432550307
50	20	32	7.866091996
50	20	32	7.764389189
50	20	32	8.126034235
50	20	32	8.184624151
50	20	32	5.199103456
50	20	32	8.429869913
50	20	32	6.675912755
50	20	64	6.064320167
50	20	64	4.813451702
50	20	64	6.691019445
50	20	64	5.178129065
50	20	64	3.871225014
50	20	64	4.068164717
50	20	64	4.736675807
50	20	64	7.2635924
60	20	1	9.715258524
60	20	1	8.604055095
60	20	1	7.492733649
60	20	1	5.33549113
60	20	1	7.622465457
60	20	1	9.832677092
60	20	1	8.99793352
60	20	1	7.383201313
60	20	2	8.081404567
60	20	2	8.238524287
60	20	2	7.078788834
60	20	2	7.7339676
60	20	2	4.241847125
60	20	2	8.812341426
60	20	2	7.460320076
60	20	2	9.065077774
60	20	4	8.561046477
60	20	4	6.554182265
60	20	4	7.173627905
60	20	4	9.574550642
60	20	4	7.093527968
60	20	4	9.218681298
60	20	4	6.977747272
60	20	4	8.731658017
60	20	8	8.29052554
60	20	8	7.751369509
60	20	8	3.374393798
60	20	8	8.607110639
60	20	8	9.735195452
60	20	8	7.899041681
60	20	8	4.774378294
60	20	8	4.412491597
60	20	16	5.688440316
60	20	16	5.518689657
60	20	16	6.251156841
60	20	16	5.922354653
60	20	16	7.152602367
60	20	16	5.098196112
60	20	16	6.696057053
60	20	16	7.460187173
60	20	32	6.214592884
60	20	32	5.767079163
60	20	32	6.586308476
60	20	32	6.942859067
60	20	32	7.80965932
60	20	32	6.592086888
60	20	32	5.373476777
60	20	32	5.104168714
60	20	64	2.628057592
60	20	64	6.116895819
60	20	64	5.777402436
60	20	64	7.099593207
60	20	64	5.671642398
60	20	64	5.870668794
60	20	64	5.568454405
60	20	64	2.356762832
70	20	1	5.995511203
70	20	1	6.173605969
70	20	1	8.736940213
70	20	1	6.295188801
70	20	1	6.896116683
70	20	1	7.863125456
70	20	1	6.818250611
70	20	1	9.368439622
70	20	2	5.696231215
70	20	2	7.954627412
70	20	2	5.318325141
70	20	2	4.784831073
