Days	Event	Count	Vendor
1.3	Failure	1	Vendor1
1.7	Failure	1	Vendor1
2.4	Failure	1	Vendor1
3.2	Failure	1	Vendor1
7.5	Failure	1	Vendor1
11.1	Failure	1	Vendor1
28.7	Failure	1	Vendor1
34.6	Failure		1	Vendor1
38.4	Failure	1	Vendor1
45.8	Failure	1	Vendor1
52.9	Failure	1	Vendor1
58.4	Failure	1	Vendor1
66.1	Failure	1	Vendor1
68.2	Failure	1	Vendor1
94.7	Failure	1	Vendor1
128.7	Failure	1	Vendor1
143.6	Failure	1	Vendor1
162.3	Failure	1	Vendor1
183.6	Failure	1	Vendor1
245.9	Failure	1	Vendor1
331.6	Failure	1	Vendor1
365.0	Censored	1020	Vendor1
1.4	Failure	1	Vendor2
2.6	Failure	1	Vendor2
2.7	Failure	1	Vendor2
4.7	Failure	1	Vendor2
12.8	Failure	1	Vendor2
18.2	Failure	1	Vendor2
33.5	Failure	1	Vendor2
45.6	Failure	1	Vendor2
50.0	Failure	1	Vendor2
60.3	Failure	1	Vendor2
73.6	Failure	1	Vendor2
79.1	Failure	1	Vendor2
98.1	Failure	1	Vendor2
150.6	Failure	1	Vendor2
174.1	Failure	1	Vendor2
230.5	Failure	1	Vendor2
311.2	Failure	1	Vendor2
326.4	Failure	1	Vendor2
365.0	Censored	1227	Vendor2
