Kilocycles  Mode  Event  Count  KiloNewtons
1.0	0.	0.	0.	3.00
88.0	1.	1.	1.	4.45
88.0	2.	0.	13.	4.45
144.0	1.	2.	2.	4.45
144.0	2.	2.	12.	4.45
492.0	1.	1.	1.	4.45
492.0	2.	0.	27.	4.45
582.0	2.	0.	14.	4.45
631.0	1.	1.	2.	4.45
631.0	2.	0.	26.	4.45
638.0	2.	0.	14.	4.45
769.0	2.	0.	28.	4.45
217.0	1.	1.	1.	5.00
217.0	2.	0.	13.	5.00
236.0	2.	0.	14.	5.00
281.0	1.	1.	1.	5.00
281.0	2.	0.	13.	5.00
346.0	1.	1.	1.	5.00
346.0	2.	0.	27.	5.00
411.0	2.	0.	14.	5.00
414.0	2.	0.	28.	5.00
423.0	1.	1.	1.	5.00
423.0	2.	0.	27.	5.00
499.0	2.	0.	14.	5.00
561.0	2.	0.	14.	5.00
574.0	2.	0.	28.	5.00
699.0	2.	0.	28.	5.00
998.0	2.	0.	28.	5.00
1041.0	2.	0.	28.	5.00
47.1	1.	1.	1.	6.45
47.1	2.	0.	13.	6.45
68.1	1.	1.	2.	6.45
68.1	2.	0.	26.	6.45
90.8	1.	1.	1.	6.45
90.8	2.	0.	13.	6.45
103.6	1.	1.	1.	6.45
103.6	2.	0.	13.	6.45
106.0	1.	1.	1.	6.45
106.0	2.	0.	13.	6.45
115.0	1.	1.	1.	6.45
115.0	2.	0.	13.	6.45
126.0	1.	2.	2.	6.45
126.0	2.	0.	12.	6.45
146.6	1.	1.	1.	6.45
146.6	2.	0.	13.	6.45
229.0	2.	0.	14.	6.45
240.0	1.	1.	1.	6.45
240.0	2.	0.	27.	6.45
278.0	2.	0.	28.	6.45
289.0	1.	1.	1.	6.45
289.0	2.	0.	27.	6.45
367.0	2.	0.	13.	6.45
367.0	1.	1.	1.	6.45
385.9	2.	0.	14.	6.45
392.0	2.	0.	14.	6.45
505.0	2.	0.	14.	6.45
14.5	1.	1.	1.	9.56
14.5	2.	0.	13.	9.56
25.6	1.	3.	3.	9.56
25.6	2.	0.	11.	9.56
26.2	1.	1.	1.	9.56
26.2	2.	0.	13.	9.56
52.4	2.	0.	14.	9.56
66.3	1.	1.	1.	9.56
66.3	2.	0.	13.	9.56
69.3	2.	0.	28.	9.56
69.8	2.	0.	14.	9.56
76.2	1.	1.	1.	9.56
76.2	2.	0.	13.	9.56
