Lower Upper Event Count Truntime Truncode
1 2 3 1 1 Left
2 3 3 1 1 Left
3 4 3 1 1 Left
10 11 3 1 1 Left
11 12 3 2 1 Left
18 19 3 1 1 Left
28 29 3 1 1 Left
33 34 3 2 1 Left
34 35 3 1 1 Left
35 36 3 1 1 Left
38 39 3 2 1 Left
40 41 3 1 1 Left
48 49 3 1 1 Left
50 51 3 1 1 Left
52 53 3 1 1 Left
53 54 3 1 1 Left
58 59 3 1 1 Left
61 62 3 2 1 Left
66 67 3 3 1 Left
67 68 3 1 1 Left
68 69 3 1 1 Left
69 70 3 1 1 Left
94 95 3 1 1 Left
98 99 3 1 1 Left
128 129 3 3 1 Left
140 141 3 1 1 Left
143 144 3 1 1 Left
144 145 3 1 1 Left
162 163 3 1 1 Left
165 166 3 1 1 Left
183 184 3 1 1 Left
230 231 3 1 1 Left
245 246 3 1 1 Left
311 312 3 1 1 Left
331 332 3 1 1 Left
365 365 0 1008 1 Left
391 391 0 156 1 Left
392 392 0 145 1 Left
393 393 0 40 1 Left
394 394 0 51 1 Left
395 395 0 284 1 Left
396 396 0 289 1 Left
398 398 0 186 1 Left
399 399 0 106 1 Left
433 433 0 81 1 Left
435 435 0 27 1 Left
436 436 0 26 1 Left
437 437 0 14 1 Left
