Hours	Event
2	ProcessDefect
3	ProcessDefect
5	ProcessDefect
8	ProcessDefect
13	Censored
21	ProcessDefect
28	ProcessDefect
31	ProcessDefect
31	Censored
52	Censored
53	Censored
64	ProcessDefect
67	Censored
69	ProcessDefect
76	ProcessDefect
78	Censored
104	ProcessDefect
113	Censored
119	ProcessDefect
135	Censored
144	ProcessDefect
157	Censored
160	ProcessDefect
168	Degradation
179	Censored
191	Degradation
203	Degradation
211	Degradation
221	ProcessDefect
226	Degradation
236	ProcessDefect
241	Censored
257	Censored
261	Degradation
264	Degradation
278	Degradation
282	ProcessDefect
284	Degradation
286	Degradation
298	Degradation
303	ProcessDefect
314	Degradation
317	Degradation
318	Degradation
320	Degradation
327	Degradation
328	Degradation
328	Degradation
348	Degradation
348	Censored
350	Degradation
360	Degradation
369	Degradation
377	Degradation
387	Degradation
392	Degradation
412	Degradation
446	Degradation
