Hours	Event	Count	Celsius
5000.	Censored	30	10
1298.	Failed	1	40
1390.	Failed	1	40
3187.	Failed	1	40
3241.	Failed	1	40
3261.	Failed	1	40
3313.	Failed	1	40
4501.	Failed	1	40
4568.	Failed	1	40
4841.	Failed	1	40
4982.	Failed	1	40
5000.	Censored	90	40
581.	Failed	1	60
925.	Failed	1	60
1432.	Failed	1	60
1586.	Failed	1	60
2452.	Failed	1	60
2734.	Failed	1	60
2772.	Failed	1	60
4106.	Failed	1	60
4674.	Failed	1	60
5000.	Censored	11	60
283.	Failed	1	80
361.	Failed	1	80
515.	Failed	1	80
638.	Failed	1	80
854.	Failed	1	80
1024.	Failed	1	80
1030.	Failed	1	80
1045.	Failed	1	80
1767.	Failed	1	80
1777.	Failed	1	80
1856.	Failed	1	80
1951.	Failed	1	80
1964.	Failed	1	80
2884.	Failed	1	80
5000.	Censored	1	80
