Ratio	Kilocycles
.95	.037
.95	.072
.95	.074
.95	.076
.95	.083
.95	.085
.95	.105
.95	.109
.95	.120
.95	.123
.95	.143
.95	.203
.95	.206
.95	.217
.95	.257
.90	.201
.90	.216
.90	.226
.90	.252
.90	.257
.90	.295
.90	.311
.90	.342
.90	.356
.90	.451
.90	.457
.90	.509
.90	.540
.90	.680
.90	1.129
.825	1.246
.825	1.258
.825	1.460
.825	1.492
.825	2.400
.825	2.410
.825	2.590
.825	2.903
.825	3.330
.825	3.590
.825	3.847
.825	4.110
.825	4.820
.825	5.560
.825	5.598
.75	6.710
.75	9.930
.75	12.600
.75	15.580
.75	16.190
.75	17.280
.75	18.620
.75	20.300
.75	24.900
.75	26.260
.75	27.940
.75	36.350
.75	48.420
.75	50.090
.75	67.340
.675	102.950
.675	280.320
.675	339.830
.675	366.900
.675	485.620
.675	658.960
.675	896.330
.675	1241.760
.675	1250.200
.675	1329.780
.675	1399.830
.675	1459.140
.675	3294.820
.675	11748.100
.675	11748.100


