Inches	Kilocycles
30	59
30	91
30	72
30	49
30	53
30	48
30	71
30	79
30	93
30	25
30	84
30	93
30	131
30	50
30	63
30	99
30	113
30	133
30	101
30	44
30	88
30	132
30	152
30	93
30	98
30	107
30	128
30	140
30	121
30	84
30	91
30	143
30	158
30	97
30	218
30	121
30	132
30	142
30	124
30	119
30	117
30	182
30	164
30	117
30	222
30	144
30	143
30	222
30	130
30	157
30	129
30	189
30	219
30	120
30	229
30	152
30	181
30	282
30	139
30	174
30	134
30	208
30	238
30	163
30	244
30	173
30	203
30	287
30	212
30	187
30	152
30	260
30	271
30	240
30	272
30	182
30	243
30	344
30	236
30	202
30	203
30	314
30	324
30	368
30	333
30	217
30	363
30	366
30	308
30	258
30	297
30	502
30	347
30	573
30	531
30	273
30	365
30	512
30	353
60	23
60	39
60	23
60	29
60	24
60	11
60	27
60	45
60	21
60	36
60	52
60	36
60	36
60	46
60	25
60	48
60	63
60	50
60	28
60	37
60	60
60	55
60	51
60	54
60	30
60	55
60	68
60	54
60	44
60	43
60	64
60	56
60	57
60	63
60	31
60	77
60	81
60	69
60	66
60	70
60	77
60	64
60	60
60	70
60	62
60	82
60	82
60	73
60	68
60	98
60	80
60	76
60	64
60	76
60	96
60	86
60	114
60	80
60	89
60	103
60	82
60	86
60	86
60	77
60	118
60	91
60	119
60	88
60	92
60	112
60	94
60	99
60	105
60	84
60	119
60	97
60	142
60	89
60	106
60	119
60	109
60	100
60	147
60	102
60	130
60	109
60	147
60	114
60	107
60	143
60	121
60	114
60	187
60	144
60	156
60	190
60	194
60	175
60	120
90	17
90	16
90	36
90	11
90	23
90	21
90	24
90	27
90	16
90	15
90	21
90	26
90	37
90	29
90	25
90	31
90	31
90	29
90	26
90	20
90	35
90	28
90	42
90	37
90	27
90	33
90	35
90	32
90	29
90	22
90	40
90	48
90	43
90	41
90	37
90	45
90	36
90	45
90	33
90	25
90	41
90	51
90	53
90	43
90	41
90	46
90	37
90	50
90	34
90	44
90	52
90	54
90	54
90	44
90	46
90	51
90	38
90	51
90	49
90	55
90	55
90	66
90	62
90	48
90	54
90	63
90	42
90	56
90	52
90	56
90	65
90	67
90	87
90	53
90	58
90	70
90	43
90	59
90	64
90	62
90	72
90	68
90	89
90	59
90	99
90	83
90	65
90	104
90	68
90	63
90	110
90	118
90	101
90	62
90	102
90	128
90	133
90	150
90	68
90	86
