HoursL	HoursU	Event	TruncCode	TruncTime	Count	Vendor
1	1	Left	1	0	10	V1
1	2	Interval	1	0	1	V1
2	5	Interval	1	0	3	V1
5	10	Interval	1	0	1	V1
10	20	Interval	1	0	2	V1
20	50	Interval	1	0	6	V1
50	100	Interval	1	0	3	V1
100	200	Interval	1	0	2	V1
200	500	Interval	1	0	8	V1
500	1000	Interval	1	0	4	V1
1000	2000	Interval	1	0	5	V1
2000	5000	Interval	1	0	6	V1
5000	6000	Interval	1	0	3	V1
6000	7000	Interval	1	0	9	V1
7000	8000	Interval	1	0	10	V1
8000	9000	Interval	1	0	16	V1
9000	10000	Interval	1	0	7	V1
10000	10000	Suspended	1	0	4897	V1
1000	2000	Interval	3	1000	4	V2
2000	5000	Interval	3	1000	4	V2
5000	6000	Interval	3	1000	5	V2
6000	7000	Interval	3	1000	11	V2
7000	8000	Interval	3	1000	7	V2
8000	9000	Interval	3	1000	14	V2
9000	10000	Interval	3	1000	10	V2
10000	11000	Interval	3	1000	14	V2
11000	11000	Suspended	3	1000	4924	V2

