Unit	Hours	Cost	Event
1.0	381.0	2.9	Action
1.0	723.0	2.9	Action
1.0	1039.0	3.1	Action
1.0	1113.0	5.1	Action
1.0	1394.0	3.1	Action
1.0	1765.0	2.8	Action
1.0	2117.0	2.7	Action
1.0	2137.0	1.2	Action
1.0	2474.0	2.8	Action
1.0	2499.0	3.5	Action
1.0	2546.0	2.3	Action
1.0	2839.0	2.9	Action
1.0	3148.0	2.9	Action
1.0	3223.0	17.7	Action
1.0	3500.0	3.1	Action
1.0	3851.0	3.1	Action
1.0	4218.0	3.0	Action
1.0	4543.0	3.1	Action
1.0	4853.0	3.0	Action
1.0	5178.0	3.0	Action
1.0	5441.0	3.7	Action
1.0	5521.0	2.8	Action
1.0	5886.0	2.9	Action
1.0	6218.0	3.3	Action
1.0	6506.0	7.2	Action
1.0	6542.0	3.0	Action
1.0	6860.0	2.5	Action
1.0	7173.0	3.3	Action
1.0	7401.0	2.8	Action
1.0	7471.0	1.2	Action
1.0	7547.0	2.8	Action
1.0	7884.0	3.0	Action
1.0	8054.7	0.0	End
2.0	372.0	2.4	Action
2.0	490.0	3.1	Action
2.0	697.0	3.1	Action
2.0	921.0	5.0	Action
2.0	1050.0	2.9	Action
2.0	1386.0	2.6	Action
2.0	1695.0	3.0	Action
2.0	2007.0	2.9	Action
2.0	2329.0	2.7	Action
2.0	2694.0	3.1	Action
2.0	2713.0	1.3	Action
2.0	3065.0	3.3	Action
2.0	3179.0	11.3	Action
2.0	3399.0	2.7	Action
2.0	3725.0	3.2	Action
2.0	4036.0	2.7	Action
2.0	4399.0	2.0	Action
2.0	4413.0	2.9	Action
2.0	4498.0	3.9	Action
2.0	4775.0	2.9	Action
2.0	5100.0	3.2	Action
2.0	5392.0	15.6	Action
2.0	5407.0	3.2	Action
2.0	5723.0	3.1	Action
2.0	6093.0	2.8	Action
2.0	6470.0	3.1	Action
2.0	6799.0	3.0	Action
2.0	7165.0	2.8	Action
2.0	7508.0	2.7	Action
2.0	7608.0	2.6	Action
2.0	7739.0	10.0	Action
2.0	7841.0	3.0	Action
2.0	7884.0	4.1	Action
2.0	8189.0	3.2	Action
2.0	8514.0	3.1	Action
2.0	8865.0	3.1	Action
2.0	9187.0	0.0	End
3.0	319.0	3.0	Action
3.0	714.0	2.7	Action
3.0	1017.0	2.9	Action
3.0	1353.0	2.5	Action
3.0	1698.0	3.1	Action
3.0	1857.0	5.1	Action
3.0	2059.0	3.0	Action
3.0	2451.0	3.1	Action
3.0	2808.0	3.1	Action
3.0	3094.0	10.7	Action
3.0	3112.0	3.3	Action
3.0	3336.0	5.6	Action
3.0	3448.0	2.7	Action
3.0	3836.0	2.7	Action
3.0	4190.0	3.1	Action
3.0	4566.0	2.8	Action
3.0	4874.0	2.2	Action
3.0	4905.0	2.7	Action
3.0	5243.0	3.0	Action
3.0	5450.0	15.0	Action
3.0	5590.0	2.8	Action
3.0	5973.0	3.0	Action
3.0	6343.0	3.1	Action
3.0	6482.0	4.4	Action
3.0	6668.0	2.8	Action
3.0	7002.0	2.6	Action
3.0	7328.0	3.4	Action
3.0	7657.0	3.5	Action
3.0	7714.0	2.9	Action
3.0	7768.0	4.3	Action
3.0	8049.3	0.0	End
4.0	384.0	2.9	Action
4.0	732.0	2.9	Action
4.0	1054.0	2.9	Action
4.0	1447.0	3.2	Action
4.0	1822.0	3.1	Action
4.0	2214.0	3.0	Action
4.0	2328.0	3.1	Action
4.0	2566.0	3.3	Action
4.0	2571.0	5.9	Action
4.0	2919.0	2.8	Action
4.0	3241.0	3.1	Action
4.0	3552.0	3.0	Action
4.0	3857.0	2.8	Action
4.0	4247.0	3.2	Action
4.0	4562.0	2.9	Action
4.0	4900.0	2.9	Action
4.0	5244.0	3.3	Action
4.0	5414.0	3.2	Action
4.0	5444.0	14.5	Action
4.0	5549.0	3.1	Action
4.0	5925.0	3.0	Action
4.0	6248.0	3.1	Action
4.0	6549.0	3.1	Action
4.0	6698.0	5.9	Action
4.0	6885.0	3.0	Action
4.0	7257.0	3.2	Action
4.0	7577.0	2.6	Action
4.0	7942.0	3.1	Action
4.0	8242.0	3.0	Action
4.0	8293.0	3.6	Action
4.0	8366.0	2.3	Action
4.0	8369.2	0.0	End
5.0	180.0	2.6	Action
5.0	332.0	2.8	Action
5.0	345.0	1.9	Action
5.0	532.0	3.2	Action
5.0	670.0	2.9	Action
5.0	692.0	1.7	Action
5.0	1035.0	3.0	Action
5.0	1432.0	3.0	Action
5.0	1795.0	2.9	Action
5.0	2153.0	3.1	Action
5.0	2458.0	2.9	Action
5.0	2762.0	2.9	Action
5.0	3039.0	18.6	Action
5.0	3053.0	6.2	Action
5.0	3081.0	2.7	Action
5.0	3479.0	2.7	Action
5.0	3837.0	3.2	Action
5.0	4220.0	3.1	Action
5.0	4585.0	3.0	Action
5.0	4948.0	3.0	Action
5.0	5280.0	2.8	Action
5.0	5293.0	3.5	Action
5.0	5318.0	14.1	Action
5.0	5662.0	3.2	Action
5.0	6011.0	2.6	Action
5.0	6105.0	3.3	Action
5.0	6327.0	3.1	Action
5.0	6681.0	3.1	Action
5.0	6986.0	2.8	Action
5.0	7339.0	2.9	Action
5.0	7648.0	2.9	Action
5.0	7978.0	3.3	Action
5.0	8026.0	7.9	Action
5.0	8375.0	2.6	Action
5.0	8435.0	2.8	Action
5.0	8748.0	2.8	Action
5.0	9055.0	4.7	Action
5.0	9125.0	3.1	Action
5.0	9249.5	0.0	End
6.0	132.0	1.0	Action
6.0	395.0	2.8	Action
6.0	699.0	2.8	Action
