Percent	Celsius	Days	TrunTime	TrunType
15	45	245	270	Right
15	45	228	270	Right
15	45	237	270	Right
15	45	221	270	Right
15	45	214	270	Right
15	45	210	270	Right
15	45	152	270	Right
15	45	142	270	Right
15	45	220	270	Right
15	45	179	270	Right
15	45	195	270	Right
15	45	203	270	Right
15	45	221	270	Right
15	45	219	270	Right
15	55	56	270	Right
15	55	26	270	Right
15	55	78	270	Right
15	55	44	270	Right
15	55	37	270	Right
15	55	77	270	Right
15	55	62	270	Right
15	55	55	270	Right
15	55	55	270	Right
15	55	75	270	Right
20	45	223	270	Right
20	45	265	270	Right
20	45	242	270	Right
20	45	213	270	Right
20	45	178	270	Right
20	45	239	270	Right
20	45	267	270	Right
20	45	221	270	Right
20	55	108	270	Right
20	55	64	270	Right
20	55	78	270	Right
20	55	99	270	Right
20	55	51	270	Right
20	55	67	270	Right
20	55	85	270	Right
20	55	70	270	Right
20	55	69	270	Right
20	55	80	270	Right
25	45	269	270	Right
25	45	251	270	Right
25	45	264	270	Right
25	45	254	270	Right
25	45	227	270	Right
25	45	238	270	Right
25	45	238	270	Right
25	45	211	270	Right
25	55	143	270	Right
25	55	100	270	Right
25	55	82	270	Right
25	55	80	270	Right
25	55	71	270	Right
25	55	101	270	Right
25	55	87	270	Right
25	55	61	270	Right
25	55	57	270	Right
25	55	70	270	Right
25	65	35	270	Right
25	65	28	270	Right
25	65	20	270	Right
25	65	31	270	Right
25	65	21	270	Right
25	65	31	270	Right
25	65	25	270	Right
25	65	31	270	Right
25	65	16	270	Right
25	65	16	270	Right
50	55	153	270	Right
50	55	141	270	Right
50	55	199	270	Right
50	55	144	270	Right
50	55	112	270	Right
50	55	184	270	Right
50	55	193	270	Right
50	55	116	270	Right
50	55	107	270	Right
50	55	150	270	Right
50	65	46	270	Right
50	65	56	270	Right
50	65	39	270	Right
50	65	39	270	Right
50	65	66	270	Right
50	65	44	270	Right
50	65	52	270	Right
50	65	29	270	Right
50	65	75	270	Right
50	65	40	270	Right
75	55	252	270	Right
75	55	152	270	Right
75	55	163	270	Right
75	55	198	270	Right
75	55	196	270	Right
75	55	234	270	Right
75	55	183	270	Right
75	55	188	270	Right
75	55	268	270	Right
75	55	140	270	Right
75	55	260	270	Right
75	55	262	270	Right
75	65	66	270	Right
75	65	36	270	Right
75	65	87	270	Right
75	65	69	270	Right
75	65	34	270	Right
75	65	47	270	Right
75	65	51	270	Right
75	65	67	270	Right
75	65	53	270	Right
75	65	109	270	Right
